name,full_name,age,gender,wikidata_id
ALLEN Nick,Nick Allen,26,Male,Q107418833
ALLICOCK Keevin,Keevin Allicock,25,Male,Q107634177
ALLIKVEE Martin,Martin Allikvee,29,Male,Q26251848
ALLMAN Valarie,Valarie Allman,29,Female,Q24956442
ALMADA Thiago,Thiago Almada,23,Male,Q57293140
ALMAQABI Ahmed,Ahmed Al-Maqabi,30,Male,Q28382512
ALMAS Deniz,Deniz Almas,27,Male,Q98151018
ALMAYA Haimro,Haimro Alame,34,Male,Q106289698
ALMEIDA Joao,Almeida Garrett,225,Male,Q316806
ALMEIDA Teresa,Teresa A Almeida,Unknown,Female,Q60547938
ALONSO Agostina,Agostina Alonso,29,Female,Q43549585
ALONSO Alejandra,Alejandra Alonso,28,Female,Q107618431
ALONSO Alejandro,Alejandro Alonso,Unknown,Male,Q55029670
ALONSO Luana,Luana Alonso,20,Female,Q107633649
ALOTHMANI Ala,Ala Al-Othmani,40,Male,Q107630972
ALQAHTANI Tahani,Tahani Alqahtani,25,Female,Q107519924
ALRASHIDI Abdullah,Abdullah A Alrashidi,Unknown,Unknown,Q100516159
ALTAYEV Altay,Altay Altayev,28,Male,Q107776403
ALTENBURG Lisa,Lisa Hahn,35,Female,Q1425547
ALTENHUBER Louisa,Louisa Altenhuber,29,Female,Q61775728
ALTO Gaston,Gastón Alto,39,Male,Q107708615
ALTUKHOV Pavlo,Pavlo Altukhov,29,Male,Q20013042
ALVARADO Luciana,Luciana Alvarado,22,Female,Q107123473
ALVARADO Roberto,Roberto Alvarado,26,Male,Q21004804
ALVAREZ Anita,Anita Alvarez,28,Female,Q26329083
ALVAREZ Dario,Darío Álvarez,35,Male,Q17745614
ALVAREZ Eddy,Eddy Alvarez,34,Male,Q15781892
ALVAREZ Jorge,Jorge Álvarez,Unknown,Male,Q5936348
ALVAREZ Lazaro,Lázaro Álvarez,33,Male,Q1277404
ALVAREZ Luis,Alvarez Luis,Unknown,Unknown,Q102429464
ALVAREZ Santiago,Santiago Álvarez,74,Male,Q48258226
ALVES Dani,Daniel Alves,41,Male,Q172720
ALZINI Martina,Martina Alzini,27,Female,Q23795340
AMADOR Andrey,Andrey Amador,38,Male,Q509663
AMAISTROAIE Madalina,Mădălina Amăistroaie,22,Female,Q107620511
AMANKUL Abilkhan,Abilkhan Amankul,27,Male,Q30880703
AMARE Girmaw,Girmaw Amare,37,Male,Q24841244
AMARIS Cesar,César Amaris,35,Male,Q107683112
AMB Kim,Kim Amb,34,Male,Q3357572
AMBAKA Willy,Willy Ambaka,34,Male,Q17465593
AMDOUNI Morhad,Morhad Amdouni,36,Male,Q3324058
AMES David,David Ames,41,Male,Q17486490
AMHA Selam,Selam Amha,27,Female,Q50063346
AMIALIUSIK Alena,Alena Amialiusik,35,Female,Q2688957
AMIHERE Laeticia,Laeticia Amihere,23,Female,Q107493640
AMIRI Nadiem,Nadiem Amiri,28,Male,Q19274473
AMIT,Ganesha,Unknown,Male,Q1579
AMOAH Christian,Christian Amoah,25,Male,Q26236492
AMOE-TARRANT Charisma,Charisma Amoe-Tarrant,25,Female,Q51782264
AMONDE Andrew,Andrew Amonde,41,Male,Q26221115
AMOROS Emile,Émile Amoros,29,Male,Q107781778
AMOS Nijel,Nijel Amos,30,Male,Q1660
AMRI Marwa,Marwa Amri,35,Female,Q6778538
AMUKAMARA Promise,Promise Amukamara,31,Female,Q57973724
AMUSAN Tobi,Tobi Amusan,27,Female,Q20991657
AN Baul,An Ba-ul,30,Male,Q20871414
AN Changrim,An Chang-rim,30,Male,Q18383078
AN Hyejin,Hyejin An,Unknown,Unknown,Q88906300
AN San,An San,23,Female,Q107618974
AN Seyoung,An Se-young,22,Female,Q54152908
ANACAN Andrea,Andrea Anacan,Unknown,Female,Q107369223
